trade_id,broker_id,client_id,transaction_amount,product_type,date,status
T000142,B001,C0013,76465.78,Forex,2024-02-19,completed
T000143,B003,C0031,74391.34,Commodity,2024-02-18,completed
T000144,B002,C0014,3934.76,Commodity,2024-03-17,completed
T000145,B005,C0020,75219.55,Commodity,2024-02-29,completed
T000146,B010,C0018,221216.66,Commodity,2024-03-08,completed
T000147,B006,C0029,4089.52,Commodity,2024-02-02,completed
T000148,B007,C0006,5562.18,Bond,2024-03-11,completed
T000149,B004,C0032,101365.92,Forex,2024-01-02,completed
T000150,B007,C0029,33098.49,Bond,2024-03-28,completed
T000151,B008,C0043,50373.19,Bond,2024-01-15,completed
T000152,B001,C0002,36712.91,Equity,2024-03-28,pending
T000153,B006,C0023,39578.6,Bond,2024-03-09,completed
T000154,B008,C0019,3011.8,Commodity,2024-02-04,completed
T000155,B005,C0031,105976.91,Commodity,2024-03-23,completed
T000156,B004,C0005,127310.59,Equity,2024-02-13,completed
T000157,B002,C0019,15613.85,Equity,2024-01-15,completed
T000158,B006,C0034,20635.84,Equity,2024-02-07,completed
T000159,B006,C0010,2215.73,Equity,2024-02-25,completed
T000160,B001,C0025,47637.81,Equity,2024-01-21,completed
T000161,B009,C0002,51952.55,Bond,2024-02-28,completed
T000162,B006,C0011,20064.62,Equity,2024-01-01,completed
T000163,B003,C0050,118958.51,Bond,2024-02-03,completed
T000164,B004,C0031,13344.83,Forex,2024-03-05,completed
T000165,B004,C0015,51375.1,Equity,2024-01-23,completed
T000166,B003,C0009,4771.92,Equity,2024-03-05,completed
T000167,B010,C0023,21261.89,Bond,2024-01-14,completed
T000168,B003,C0019,16957.55,Forex,2024-03-21,completed
T000169,B003,C0009,30883.02,Bond,2024-02-08,pending
T000170,B004,C0035,12653.76,Bond,2024-03-22,completed
T000171,B007,C0021,18084.15,Equity,2024-03-05,completed
T000172,B004,C0009,76044.26,Commodity,2024-03-18,completed
T000173,B009,C0028,11439.8,Commodity,2024-01-26,completed
T000174,B001,C0046,1978.58,Bond,2024-01-20,pending
T000175,B008,C0007,303876.26,Equity,2024-02-17,completed
T000176,B007,C0016,174936.99,Forex,2024-01-21,completed
T000177,B002,C0016,3170.38,Commodity,2024-03-10,completed
T000178,B008,C0033,61979.67,Forex,2024-03-08,completed
T000179,B001,C0004,10358.24,Commodity,2024-01-01,completed
T000180,B009,C0004,32703.29,Equity,2024-03-17,completed
T000181,B009,C0039,34246.38,Bond,2024-02-11,completed
T000182,B002,C0040,15496.79,Forex,2024-03-03,completed
T000183,B007,C0017,6797.78,Forex,2024-01-03,completed
T000184,B010,C0037,7818.03,Bond,2024-01-15,completed
T000185,B003,C0039,5573.13,Forex,2024-02-16,completed
T000186,B007,C0029,6325.01,Commodity,2024-02-09,completed
T000187,B010,C0036,19915.08,Bond,2024-01-31,completed
T000188,B009,C0038,7527.81,Commodity,2024-01-08,completed
T000189,B004,C0039,61271.99,Commodity,2024-01-31,completed
T000190,B001,C0050,205021.32,Equity,2024-03-13,completed
T000191,B002,C0037,9227.29,Commodity,2024-01-11,pending
T000192,B001,C0035,31542.99,Equity,2024-01-11,completed
T000193,B005,C0007,46608.01,Forex,2024-03-03,completed
T000194,B005,C0027,44712.28,Forex,2024-01-09,completed
T000195,B007,C0028,24684.55,Equity,2024-03-09,completed
T000196,B009,C0022,67105.66,Commodity,2024-01-17,completed
T000197,B009,C0014,45404.81,Bond,2024-01-17,completed
T000198,B003,C0007,3440.96,Bond,2024-03-25,completed
T000199,B003,C0037,81124.0,Equity,2024-03-01,completed
T000200,B003,C0022,83361.03,Forex,2024-03-11,completed
T000201,B004,C0005,7009.84,Forex,2024-01-22,pending
T000202,B008,C0002,23316.27,Bond,2024-02-03,completed
T000203,B006,C0027,61389.46,Equity,2024-03-08,completed
T000204,B008,C0021,16091.22,Bond,2024-03-18,completed
T000205,B001,C0038,110135.54,Commodity,2024-02-24,completed
T000206,B008,C0015,763607.16,Commodity,2024-01-28,completed
T000207,B004,C0021,6775.18,Equity,2024-03-10,completed
T000208,B001,C0010,2775.08,Equity,2024-03-29,completed
T000209,B008,C0023,34742.81,Commodity,2024-01-26,completed
T000210,B004,C0039,65013.08,Forex,2024-02-09,completed
T000211,B006,C0005,15579.33,Equity,2024-02-21,completed
T000212,B008,C0001,194831.62,Commodity,2024-03-26,completed
T000213,B004,C0013,2957.48,Commodity,2024-03-24,completed
T000214,B003,C0021,62278.9,Forex,2024-02-17,completed
T000215,B009,C0026,8876.91,Forex,2024-02-26,completed
T000216,B003,C0050,290415.19,Forex,2024-03-07,completed
T000217,B009,C0045,437474.21,Forex,2024-02-27,completed
T000218,B002,C0021,6974.49,Bond,2024-01-16,completed
T000219,B002,C0018,9659.18,Forex,2024-02-01,completed
T000220,B002,C0037,79968.0,Bond,2024-01-29,completed
T000221,B006,C0045,12324.0,Equity,2024-01-09,completed
T000222,B003,C0032,20576.05,Commodity,2024-02-13,completed
T000223,B009,C0036,22881.47,Bond,2024-01-03,completed
T000224,B004,C0017,1237.06,Equity,2024-03-16,completed
T000225,B001,C0035,21573.98,Equity,2024-03-11,completed
T000226,B004,C0049,7827.58,Bond,2024-01-30,completed
T000227,B001,C0011,10512.45,Equity,2024-03-16,completed
T000228,B005,C0021,192037.9,Equity,2024-01-29,completed
T000229,B004,C0026,3345.06,Bond,2024-01-01,completed
T000230,B008,C0004,74593.44,Equity,2024-01-10,completed
T000231,B008,C0034,14494.95,Forex,2024-03-21,completed
T000232,B007,C0048,14477.63,Forex,2024-01-08,completed
T000233,B003,C0018,72081.87,Commodity,2024-01-30,completed
T000234,B001,C0040,36683.3,Equity,2024-01-09,completed
T000235,B001,C0035,51840.11,Commodity,2024-01-05,completed
T000236,B003,C0041,94115.4,Forex,2024-02-12,completed
T000237,B006,C0029,13400.37,Forex,2024-01-10,completed
T000238,B007,C0029,8792.42,Forex,2024-03-06,completed
T000239,B006,C0038,4325.46,Equity,2024-01-31,completed
T000240,B006,C0042,6386.13,Equity,2024-02-05,completed
T000241,B006,C0021,1836994.99,Forex,2024-03-26,completed
T000242,B003,C0042,142488.9,Commodity,2024-03-03,completed
T000243,B006,C0013,2902.68,Commodity,2024-01-28,completed
T000244,B008,C0049,3029.99,Bond,2024-03-10,completed
T000245,B002,C0041,45378.74,Forex,2024-01-17,completed
T000246,B005,C0017,50055.98,Commodity,2024-03-14,completed
T000247,B001,C0009,50177.69,Forex,2024-03-14,completed
T000248,B001,C0041,15026.44,Commodity,2024-03-01,completed
T000249,B005,C0001,18248.14,Bond,2024-02-01,completed
T000250,B003,C0002,36019.63,Bond,2024-03-01,completed
T000251,B004,C0048,25055.27,Forex,2024-02-22,completed
T000252,B003,C0029,789.22,Commodity,2024-01-25,completed
T000253,B001,C0033,15604.28,Equity,2024-01-13,completed
T000254,B001,C0010,6141.91,Bond,2024-01-13,completed
T000255,B005,C0050,28647.38,Forex,2024-03-25,completed
T000256,B006,C0040,1939398.64,Forex,2024-02-25,completed
T000257,B003,C0021,38224.14,Commodity,2024-02-15,completed
T000258,B009,C0028,13762.54,Forex,2024-02-24,completed
T000259,B005,C0011,87789.95,Bond,2024-02-22,completed
T000260,B008,C0034,45434.72,Forex,2024-02-29,completed
T000261,B001,C0008,41362.99,Forex,2024-01-07,completed
T000262,B005,C0022,54735.94,Equity,2024-03-27,completed
T000263,B003,C0008,481574.08,Equity,2024-03-24,completed
T000264,B001,C0049,4038.66,Bond,2024-03-23,completed
T000265,B004,C0015,44821.72,Commodity,2024-01-13,completed
T000266,B005,C0017,5488.6,Equity,2024-01-08,completed
T000267,B007,C0023,50679.1,Commodity,2024-02-21,completed
T000268,B001,C0024,5552.31,Bond,2024-02-13,completed
T000269,B003,C0045,11777.54,Equity,2024-01-14,completed
T000270,B002,C0019,14148.52,Commodity,2024-02-01,completed
T000271,B009,C0005,95199.03,Equity,2024-01-25,completed
T000272,B010,C0032,87350.29,Bond,2024-01-25,completed
T000273,B006,C0044,3399.64,Bond,2024-03-09,completed
T000274,B010,C0001,23918.35,Equity,2024-02-27,completed
T000275,B003,C0023,7597.92,Commodity,2024-01-18,completed
T000276,B008,C0037,3335.05,Forex,2024-02-24,completed
T000277,B008,C0008,15906.36,Forex,2024-01-24,completed
T000278,B002,C0013,13867.12,Equity,2024-02-05,completed
T000279,B006,C0008,839091.24,Commodity,2024-02-29,completed
T000280,B007,C0023,42168.96,Forex,2024-02-01,completed
T000281,B002,C0043,2789.38,Bond,2024-01-10,completed
T000282,B010,C0001,9441.21,Commodity,2024-02-26,completed
T000283,B002,C0045,101933.4,Forex,2024-03-11,completed
T000284,B010,C0024,505177.01,Commodity,2024-01-13,completed
T000285,B001,C0035,2040.65,Equity,2024-01-07,completed
T000286,B008,C0024,1313.06,Commodity,2024-03-24,completed
T000287,B001,C0017,364560.49,Forex,2024-03-10,completed
T000288,B009,C0005,39514.43,Equity,2024-01-02,completed
T000289,B006,C0020,5988.29,Commodity,2024-01-12,completed
T000290,B007,C0021,49116.17,Bond,2024-01-31,completed
T000291,B010,C0040,422.58,Forex,2024-01-22,completed
T000292,B007,C0031,22138.27,Equity,2024-02-22,completed
T000293,B010,C0046,36016.48,Commodity,2024-03-03,completed
T000294,B003,C0036,88115.63,Bond,2024-03-02,completed
T000295,B002,C0011,4813.39,Forex,2024-01-28,completed
T000296,B009,C0015,25047.54,Bond,2024-02-21,completed
T000297,B008,C0019,5496.48,Commodity,2024-01-08,completed
T000298,B010,C0007,32308.18,Commodity,2024-01-22,completed
T000299,B007,C0028,5750.15,Equity,2024-02-18,pending
T000300,B009,C0043,11942.38,Bond,2024-01-01,completed
T000301,B004,C0005,4945.72,Equity,2024-02-19,completed
T000302,B004,C0005,58495.46,Forex,2024-02-03,completed
T000303,B001,C0030,79831.76,Equity,2024-02-28,completed
T000304,B008,C0032,15491.85,Forex,2024-02-06,completed
T000305,B003,C0008,23326.77,Commodity,2024-02-24,completed
T000306,B007,C0010,2507.68,Commodity,2024-03-30,completed
T000307,B002,C0038,14051.51,Bond,2024-03-12,completed
T000308,B002,C0047,20428.64,Forex,2024-03-25,completed
T000309,B007,C0032,1122635.54,Commodity,2024-03-03,completed
T000310,B006,C0048,4154.92,Bond,2024-01-20,completed
T000311,B003,C0028,198048.23,Bond,2024-01-25,completed
T000312,B009,C0017,98251.73,Equity,2024-02-07,completed
T000313,B010,C0031,33555.45,Bond,2024-01-28,completed
T000314,B006,C0008,308023.31,Commodity,2024-01-08,completed
T000315,B010,C0040,38490.17,Equity,2024-03-15,completed
T000316,B010,C0025,39487.47,Forex,2024-03-10,completed
T000317,B006,C0009,20339.48,Forex,2024-01-08,completed
T000318,B001,C0002,138047.53,Commodity,2024-02-10,completed
T000319,B004,C0015,114085.55,Commodity,2024-01-08,completed
T000320,B010,C0050,8616.93,Equity,2024-01-07,completed
T000321,B006,C0003,3044.61,Equity,2024-03-15,pending
T000322,B006,C0049,16244.81,Commodity,2024-03-02,completed
T000323,B005,C0036,6633.86,Commodity,2024-03-05,completed
T000324,B001,C0004,20024.53,Forex,2024-03-08,completed
T000325,B008,C0014,140949.54,Forex,2024-01-21,pending
T000326,B005,C0041,11092.76,Forex,2024-01-08,completed
T000327,B005,C0041,20656.08,Commodity,2024-03-06,completed
T000328,B007,C0025,24029.42,Bond,2024-01-11,completed
T000329,B004,C0050,78640.83,Commodity,2024-01-24,pending
T000330,B006,C0010,757.23,Commodity,2024-01-09,completed
T000331,B004,C0021,8865.74,Forex,2024-03-17,completed
T000332,B003,C0036,30240.14,Commodity,2024-01-09,pending
T000333,B007,C0012,133268.14,Equity,2024-03-27,completed
T000334,B008,C0027,10531.71,Commodity,2024-01-31,completed
T000335,B004,C0040,1319.71,Commodity,2024-02-21,completed
T000336,B002,C0002,55802.12,Commodity,2024-01-16,completed
T000337,B010,C0013,8492.65,Commodity,2024-03-13,completed
T000338,B003,C0032,3697.82,Bond,2024-02-01,failed
T000339,B001,C0031,8634.16,Commodity,2024-03-15,completed
T000340,B008,C0016,16700.8,Equity,2024-03-17,completed
T000341,B003,C0032,8891.78,Equity,2024-01-06,failed
T000342,B010,C0032,805.65,Commodity,2024-03-20,completed
T000343,B007,C0034,84592.37,Forex,2024-01-11,completed
T000344,B010,C0011,149091.06,Bond,2024-02-23,completed
T000345,B005,C0010,58529.31,Commodity,2024-03-25,completed
T000346,B010,C0015,3997.69,Commodity,2024-03-15,completed
T000347,B005,C0017,16281.14,Commodity,2024-03-13,completed
T000348,B007,C0040,21812.05,Forex,2024-03-07,completed
T000349,B009,C0018,54078.48,Forex,2024-02-10,completed
T000350,B005,C0009,60024.66,Forex,2024-02-03,completed
T000351,B001,C0025,7322.74,Bond,2024-01-27,failed
T000352,B010,C0040,24909.22,Equity,2024-03-26,completed
T000353,B010,C0014,43735.73,Bond,2024-02-10,completed
T000354,B001,C0025,195581.7,Forex,2024-01-31,completed
T000355,B002,C0050,63370.89,Equity,2024-02-03,completed
T000356,B006,C0022,71939.81,Equity,2024-02-20,completed
T000357,B009,C0030,24977.73,Forex,2024-01-17,completed
T000358,B008,C0020,182716.07,Forex,2024-03-26,completed
T000359,B005,C0021,40726.9,Bond,2024-03-23,failed
T000360,B001,C0044,6053.36,Forex,2024-02-08,completed
T000361,B007,C0032,180783.41,Equity,2024-02-28,completed
T000362,B005,C0046,62746.3,Commodity,2024-02-10,completed
T000363,B006,C0049,11332.55,Forex,2024-01-10,completed
T000364,B007,C0021,10729.59,Forex,2024-01-02,completed
T000365,B003,C0035,34367.39,Bond,2024-02-28,completed
T000366,B010,C0032,44124.8,Bond,2024-03-20,completed
T000367,B003,C0030,29612.1,Forex,2024-03-13,completed
T000368,B005,C0039,35135.35,Equity,2024-01-13,completed
T000369,B006,C0049,282077.2,Equity,2024-01-10,completed
T000370,B009,C0012,109898.75,Commodity,2024-03-09,completed
T000371,B005,C0041,29317.9,Forex,2024-01-28,failed
T000372,B001,C0047,90396.96,Bond,2024-03-05,completed
T000373,B004,C0018,4680.75,Equity,2024-02-03,completed
T000374,B005,C0021,40010.23,Commodity,2024-01-17,completed
T000375,B010,C0013,332355.19,Forex,2024-02-14,completed
T000376,B010,C0021,15881.83,Equity,2024-01-09,completed
T000377,B005,C0008,6176.76,Forex,2024-02-01,completed
T000378,B007,C0046,8282.22,Forex,2024-02-17,completed
T000379,B004,C0040,4296.48,Equity,2024-02-06,pending
T000380,B001,C0046,6787.63,Equity,2024-01-21,completed
T000381,B005,C0007,12635.15,Equity,2024-02-26,completed
T000382,B007,C0023,2674.85,Forex,2024-03-10,completed
T000383,B010,C0044,22548.58,Forex,2024-02-08,completed
T000384,B010,C0032,85256.17,Commodity,2024-03-19,completed
T000385,B006,C0011,5644.1,Bond,2024-03-24,completed
T000386,B005,C0022,215114.53,Forex,2024-03-08,completed
T000387,B004,C0022,47391.02,Bond,2024-01-02,completed
T000388,B002,C0043,103349.41,Equity,2024-03-26,completed
T000389,B004,C0025,8211.15,Forex,2024-03-11,pending
T000390,B010,C0022,79363.02,Commodity,2024-02-08,completed
T000391,B010,C0028,4281.67,Commodity,2024-03-25,completed
T000392,B003,C0029,83731.56,Bond,2024-01-14,completed
T000393,B010,C0013,28502.84,Equity,2024-01-18,completed
T000394,B001,C0018,50507.49,Bond,2024-02-03,completed
T000395,B008,C0002,3776.71,Equity,2024-01-15,completed
T000396,B005,C0029,5752.53,Commodity,2024-01-14,completed
T000397,B004,C0021,53951.58,Bond,2024-03-11,completed
T000398,B008,C0015,5310.7,Commodity,2024-01-20,completed
T000399,B007,C0027,44126.22,Commodity,2024-02-04,completed
T000400,B002,C0050,2833.57,Equity,2024-02-06,completed
T000401,B001,C0031,78610.56,Bond,2024-03-18,completed
T000402,B004,C0015,3467.59,Bond,2024-01-27,completed
T000403,B008,C0023,50435.47,Commodity,2024-02-13,completed
T000404,B002,C0024,56299.81,Commodity,2024-01-27,completed
T000405,B003,C0044,7745.31,Equity,2024-03-28,completed
T000406,B001,C0013,52735.27,Forex,2024-03-22,completed
T000407,B001,C0022,32554.26,Forex,2024-02-03,completed
T000408,B003,C0043,9815.69,Commodity,2024-03-05,completed
T000409,B005,C0037,4852.11,Forex,2024-03-03,completed
T000410,B003,C0033,1159.87,Forex,2024-02-02,pending
T000411,B001,C0003,37215.29,Forex,2024-01-07,completed
T000412,B001,C0019,2106.53,Forex,2024-01-12,completed
T000413,B008,C0023,25413.0,Commodity,2024-03-22,completed
T000414,B010,C0029,14836.23,Forex,2024-02-24,completed
T000415,B002,C0030,61005.19,Forex,2024-02-05,failed
T000416,B003,C0039,14001.67,Equity,2024-01-06,pending
T000417,B002,C0044,13437.82,Commodity,2024-01-01,completed
T000418,B003,C0047,66026.14,Bond,2024-02-12,completed
T000419,B007,C0025,36409.57,Bond,2024-01-17,completed
T000420,B001,C0037,35391.75,Equity,2024-03-22,completed
T000421,B010,C0047,44529.24,Equity,2024-02-03,completed
T000422,B008,C0008,2200.94,Commodity,2024-01-21,completed
T000423,B010,C0042,68540.7,Bond,2024-02-26,pending
T000424,B010,C0016,55199.17,Forex,2024-03-11,completed
T000425,B010,C0008,4793.3,Equity,2024-02-24,completed
T000426,B002,C0001,15273.57,Bond,2024-03-12,completed
T000427,B003,C0044,20765.31,Commodity,2024-01-02,completed
T000428,B009,C0005,18002.3,Forex,2024-01-15,completed
T000429,B007,C0003,36344.2,Commodity,2024-01-10,completed
T000430,B004,C0001,188537.12,Equity,2024-03-29,completed
T000431,B010,C0004,111597.07,Bond,2024-01-20,completed
T000432,B005,C0040,3076.88,Bond,2024-03-10,pending
T000433,B002,C0035,55999.89,Bond,2024-01-05,completed
T000434,B008,C0032,161684.14,Bond,2024-02-17,completed
T000435,B004,C0042,39348.49,Forex,2024-03-15,completed
T000436,B009,C0034,113150.11,Forex,2024-03-11,completed
T000437,B005,C0043,450631.71,Commodity,2024-01-19,completed
T000438,B009,C0025,102289.71,Forex,2024-02-25,completed
T000439,B004,C0010,32015.1,Equity,2024-01-17,completed
T000440,B010,C0021,105623.14,Equity,2024-01-06,completed
T000441,B005,C0046,27373.53,Bond,2024-02-09,completed
T000442,B009,C0039,22830.54,Equity,2024-02-16,completed
T000443,B008,C0027,13002.26,Commodity,2024-01-06,completed
T000444,B003,C0027,229835.71,Forex,2024-02-15,pending
T000445,B001,C0002,6453.37,Forex,2024-01-27,completed
T000446,B003,C0041,219378.01,Forex,2024-03-28,completed
T000447,B004,C0048,46620.53,Equity,2024-02-01,completed
T000448,B002,C0013,2700.09,Forex,2024-03-26,completed
T000449,B001,C0009,38233.75,Bond,2024-01-14,completed
T000450,B007,C0036,943.84,Bond,2024-02-15,completed
T000451,B008,C0022,56289.43,Bond,2024-03-12,completed
T000452,B007,C0042,83103.93,Equity,2024-02-22,completed
T000453,B005,C0026,9058.57,Forex,2024-03-20,completed
T000454,B001,C0012,26511.17,Equity,2024-01-20,completed
T000455,B007,C0017,413013.74,Forex,2024-01-31,pending
T000456,B007,C0014,10315.26,Commodity,2024-01-21,completed
T000457,B009,C0014,4499.13,Commodity,2024-01-23,completed
T000458,B003,C0034,203311.61,Equity,2024-02-22,completed
T000459,B009,C0020,418269.31,Bond,2024-01-04,completed
T000460,B001,C0011,22148.91,Equity,2024-01-23,completed
